Gene,Mutation_Remark,System/Pathway_info,Drug_Name_and_Combination,Phases,Primary Phenotype Measures,Primary/Secondary_Hypertension,Drug_Class,Source
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Zamicastat (BIA 5-1058),PHASE1,"time-matched change from baseline in placebo-adjusted QT interval corrected for heart rate based on an individual correction method after BIA 5-1058 dosing., In each treatment period, continuous 12-lead digital ECG recording will be performed by Holter monitor for at least 24 hours prior to dose until approximately 24 hours postdose., Day 1 at -1.25, -1, and -0.75 hours predose, Day -1 (baseline) at 0.5, 1, 2, 3, 4, 6, 8, 12, 16, and 24 hours and 0.5, 1, 2, 3, 4, 6, 8, 12, 16, and 23 hours postdose.",Cardiovascular Disease|Pulmonary Arterial Hypertension|Heart Failure,dopamine β-hydroxylase inhibitor,NCT03489005
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Treprostinil Palmitil,PHASE2,"Change from Baseline in Pulmonary Vascular Resistance at Week 16, Baseline to Week 16","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Prostaglandin I2 receptor agonist",NCT05147805
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Subcutaneous Treprostinil,PHASE4,"Incidence of Adverse Events Among Subjects through Study Completion, Adverse events among participants will be recorded throughout participation in the study. The incidence of adverse events among subjects through study completion, an average of 3 years, will be described by the number of subjects analyzed and the percentage of those subjects who experienced an adverse event until study completion., Study Completion, an Average of 3 Years|Change in 6-minute Walk Distance (6MWD) From Baseline to Month 12, The intent of the 6MWD test is to evaluate exercise capacity associated with carrying out activities of daily living. Change in 6MWD from Baseline to Month 12, correlates with the current clinical standard for assessing patient functional status in the treatment of PAH and is considered an objective measure of patient functional status. Subjects will be instructed to walk down a corridor at a comfortable speed as far as they can manage for six minutes. Distance \<500 meters suggests considerable exercise limitation; Distance 500-800 meters suggests moderate limitation; Distance \>800 meters (with no rests) suggests mild or no limitation., Baseline and Month 12|Change in Borg Dyspnea Score (following 6MWT) from Baseline to Month 12, The Borg dyspnea score is a 10-point scale rating the maximum level of dyspnea (difficulty in breathing) experienced during the six-minute walk test (6MWT). The Borg dyspnea score will be assessed immediately following the 6MWT. Scores range from 0 (for no shortness of breath) to 10 (for the greatest shortness of breath ever experienced). Changes from Baseline to Month 12 will be summarized and compared between treatment groups using descriptive statistics. No formal hypothesis testing will be performed., Baseline and Month 12|Number of Participants with a Change from Baseline World Health Organization (WHO) Functional Classification at Month 12, The WHO Functional Class of pulmonary hypertension is a physical activity rating scale as follows: Class I: No limitation of physical activity. Class II: Slight limitation of physical activity. Class III: Marked limitation of physical activity. Class IV: Inability to carry out any physical activity without symptoms. Changes from Baseline to Month 12 will be summarized and compared between treatment groups using descriptive statistics. No formal hypothesis testing will be performed., Change from Baseline at Month 12","Pulmonary Arterial Hypertension, Primary","Anticoagulant, Antihypertensive, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT02882126
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: oral Treprostinil diolamine (UT-15C),PHASE3,"Change in six-minute walk distance from Baseline to Week 12, 12 weeks",Pulmonary Hypertension,"Antihypertensive, Prostaglandin I2 receptor agonist",NCT00760916
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Esomeprazole on patients taking Oral Treprostinil,PHASE1,"Treprostinil pharmacokinetics in healthy volunteers following a single oral dose of a 1 mg treprostinil diethanolamine sustained release tablet before and after repeated dosing with esomeprazole., Within 10 minutes prior to through 36 hours post treprostinil diethanolamine dosing|Adverse event monitoring, Time Frame: From the first dose of treprostinil diethanolamine through study end (Study Day 9/10)","Hypertension, Pulmonary|Pulmonary Arterial Hypertension","Antisecretory (gastric acid), Anti-ulcerative, Proton pump inhibitor",NCT00963027
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ACT-385781A (Actelion Epoprostenol),PHASE4,"Dose Normalized Pharmacokinetics of 6,15-diketo-13,14-dihydro-Prostacyclin F1alpha at 2 ng/kg/Min, The plasma concentration for the epoprostenol metabolite 6,15-diketo-13,14-dihydro-Prostacyclin F1alpha was measured at 2 ng/kg/min just prior to the next up-titration. Dose-normalized concentrations are used to summarize the results., Day 1|Dose Normalized Pharmacokinetics of 6,15-diketo-13,14-dihydro-Prostacyclin F1alpha at 4 ng/kg/Min, The plasma concentration for the epoprostenol metabolite 6,15-diketo-13,14-dihydro-Prostacyclin F1alpha was measured at 4 ng/kg/min just prior to the next up-titration. Dose-normalized concentrations are used to summarize the results., Day 1|Dose Normalized Pharmacokinetics of 6-keto-Prostacyclin F1alpha at 2 ng/kg/Min, The plasma concentration for the epoprostenol metabolite 6-keto-Prostacyclin F1alpha was measured at 2 ng/kg/min just prior to the next up-titration. Dose-normalized concentrations are used to summarize the results., Day 1|Dose Normalized Pharmacokinetics of 6-keto-Prostacyclin F1alpha at 4 ng/kg/Min, The plasma concentration for the epoprostenol metabolite 6-keto-Prostacyclin F1alpha was measured at 4 ng/kg/min just prior to the next up-titration. Dose-normalized concentrations are used to summarize the results., Day 1|Six-minute Walk Distance (6MWD) - Baseline and Day 28, The 6-minute walk test (6MWT) was to be performed prior to initiating study treatment either during the screening visit or on Day 1 prior to drug initiation, and Day 28 (End of treatment (EOT)). This assessment is a non-encouraged test that measures the distance walked for a duration of 6 minutes. The 6MWD was recorded in the Case Report Form (CRF)., Baseline and 28 days (+3 days)|Patients With New York Heart Association (NYHA) Functional Class Change (Improved or Worsened) From Baseline to Day 28, Disease severity was assessed by NYHA classification of PAH criteria: Class I: no limitation of physical activity (PA). Ordinary PA: no undue dyspnea/fatigue, chest pain, near syncope. Class II: slight limitation of PA. Comfortable at rest. Ordinary PA: undue dyspnea/fatigue, chest pain, near syncope. Class III: marked limitation of PA. Comfortable at rest. Less than ordinary PA: undue dyspnea/fatigue, chest pain, near syncope. Class IV: inability to carry out PA without symptoms. Right heart failure. Dyspnea/fatigue may even have been present at rest. Discomfort increased by any PA., From baseline to 28 days (+3 days)|Percentage Central Venous Blood Oxygen Saturation (ScVO2) - Baseline and Day 28, Central venous blood oxygen saturation assessment was performed only in specific centers. Measurements for ScVO2 were performed during the inpatient hospitalization period on Day 1 (prior to drug initiation) and on Day 28 (EOT). Samples for ScVO2 were obtained by aspirating blood from the indwelling central venous catheter. After the sample had been drawn, the catheter was primed with study drug in order to refill the lumen to avoid interruption in treatment and sudden decompensation., Baseline and 28 days|Blood Pressure - Baseline and Day 28, Blood pressure (systolic and diastolic) were measured indirectly using an automatic oscillometric device, on the same arm for each measurement. The Blood Pressure was assessed at baseline and at Day 28 (End of Study Treatment visit)., Baseline and 28 days|Heart Rate - Baseline and Day 28, Heart rate was measured indirectly using an automatic oscillometric device, on the same arm for each measurement. The Heart Rate was assessed at Baseline and at Day 28 (End of Study Treatment visit)., Baseline and 28 days|Body Weight - Baseline and Day 28, Body weight was measured both at baseline and day 28., Baseline and 28 days","Pulmonary Arterial Hypertension, Primary","Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT01105091
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Carvedilol,PHASE1,"Mean change in RVEF, 1. The primary efficacy outcome is the mean change in RVEF as measured by cardiac MRI before and after 6 months of carvedilol treatment. An improvement of 5% will be considered to be clinically significant. Assessment of the RV is challenging due to its complex geometry. Cardiac MRI offers the ability to acquire 3-dimensional datasets that do not require geometric modeling. In addition to being highly reproducible40, RVEF measured by cardiac MRI can be used to identify PAH patients that are likely to have clinical worsening41. The prognostic ability of cardiac MRI-measurements of RVEF is similar to that as mean pulmonary artery pressure and exercise capacity, Baseline and 6 months",Pulmonary Hypertension|Cardiac MRI <40,"Antihypertensive, alpha1/beta-Adrenergic receptor antagonist",NCT02120339
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Vardenafil,PHASE4,"Change in 6 minute walk or New York Heart Association functional class., 14 weeks",Pulmonary Arterial Hypertension,"Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor",NCT01649739
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: treprostinil sodium,PHASE4,"Change in Six Minute Walk Distance, Baseline and Week 8","Hypertension, Pulmonary","Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT00643604
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ACT-385781A (Actelion Epoprostenol),PHASE4,"Safety and Tolerability of ACT-385781A and Flolan in Injectable Prostanoid Treatment-na├»ve Patients With Pulmonary Arterial Hypertension (PAH) - Number of Patients With Adverse Events Leading Discontinuation of Study Treatment, Up to 39 days. Day 1 - until patients transition from study medication to commercially-obtained medication|Safety and Tolerability of ACT-385781A and Flolan in Injectable Prostanoid Treatment-na├»ve Patients With PAH - Number of Deaths, Up to 39 days. Day 1 - until patients transition from study medication to commercially-obtained medication","Pulmonary Arterial Hypertension, Primary","Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT01105117
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Apabetalone,EARLY_PHASE1,"Change in Pulmonary Vascular Resistance (PVR), dyn┬╖s┬╖cm-5, Right heart catheterization: Measuring PVR is performed in a standardized manner in catheterization laboratories of the participating centres, according to recommendations. Printed copies of waveforms will be kept for monitoring visits and documentation of the accuracy of the pressures and calculations., Baseline,and 16 weeks later","Pulmonary Arterial Hypertension, Primary","Anti-inflammatory, BET inhibitor",NCT03655704
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: LIQ861 Inhaled Treprostinil,PHASE3,"Incidence of Treatment-Emergent Adverse Events and Serious Adverse Events, Treatment-Emergent Adverse Events and Serious Adverse Events will be grouped by MedDRA System Organ Class, dose level, time on drug, and relationship to dose titration, Baseline, Week 2, Month 1, Month 2 Visits, with bimonthly follow up for up to 30 months.",Primary Pulmonary Hypertension,"Antihypertensive, Prostaglandin I2 receptor agonist",NCT03399604
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Selexipag|DRUG: Riociguat,PHASE4,"Right Ventricular Stroke Volume (RVSV) flow on each therapy measured by MRI RSVS (flow) on each therapy measured by MRI, This provides a robust, objective assessment of clinical efficacy which, if met, will mean that a change in therapy has provided a clinically meaningful change in physiology, Baseline to Week 12","Pulmonary Arterial Hypertension, Primary","Vasodilator, Prostaglandin I2 receptor agonist | Vasodilator, Guanylate cyclase activator",NCT05825417
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: GB002 (seralutinib),PHASE2,"Number of Participants With Treatment Emergent Adverse Events, From first dose of study drug up to 148 weeks","Pulmonary Arterial Hypertension, Primary",Receptor tyrosine kinase inhibitor,NCT04816604
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: HypotonicTreprostinil Solution|DRUG: Eutonic Treprostinil Solution,PHASE4,"Daily Pain Diary, 2 weeks","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Prostaglandin I2 receptor agonist",NCT01615627
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: MK-8892,PHASE1,"Area Under the Concentration Time-curve From Hour 0 to 24 Hours (AUC0-24hr) of MK-8892 at Day 1 and Day 28, Blood samples taken at Predose, 0.5, 1, 2, 4, 6, 8, 12, 16, and 24 hours postdose on Days 1 and 28 to determine the AUC0-24hr., Predose and 0.5, 1, 2, 4, 6, 8, 12, 16, 24 hours postdose on Days 1 and 28|Number of Participants Who Experienced an Adverse Event (AE), An AE was defined as any untoward medical occurrence in a participant which does not necessarily have a causal relationship with the treatment. An AE was any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with use of a medicinal product, whether or not considered related to the medicinal product. The number of participants that reported at least 1 AE was summarized., Up to 42 days|Number of Participants Who Had Study Drug Discontinued Due to an Adverse Event, An AE was defined as any untoward medical occurrence in a participant which does not necessarily have a causal relationship with the treatment. An AE was any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with use of a medicinal product, whether or not considered related to the medicinal product. The number of participants who had study drug discontinued due to an AE was summarized., Up to 28 days","Pulmonary Arterial Hypertension, Primary",Soluble guanylate cyclase (sGC) modulator,NCT01926509
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: oral sildenafil,PHASE4,"Arterial pulmonary resistance index, 6 months","Pulmonary Arterial Hypertension, Primary","Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor",NCT00483626
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Treprostinil Inhalation Powder,PHASE1,"Number of subjects with treatment-emergent adverse events [Safety and Tolerability], The safety and tolerability of TreT in subjects with PAH currently treated with Tyvaso will be evaluated by the number of subjects with treatment-emergent adverse events, 3 weeks","Pulmonary Arterial Hypertension, Primary","Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT03950739
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Sildenafil 20mg and Bosentan 62.5mg,PHASE4,"Change in Pulmonary artery pressures, Change in Pulmonary artery pressures measured by echocardiography at baseline and 6 months in patients of systemic sclerosis with PAH when treatment with Single(PDE-5inhibitors at dose of 20 mg maximum upto 60mg) versus Dual therapy(PDE-5inhibitors and ER antagonist 62.5 mg maximum upto 125mg) for 6 months, Baseline and 6 months",Associated Pulmonary Arterial Hypertension,"Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor + Antihypertensive, Endothelin receptor antagonist",NCT03053739
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Sitaxsentan,PHASE3,"Change From Baseline in Total Distance Walked During 6 Minute Walk Distance (6MWD) at Week 12, 6 MWD was the distance that a participant could walk in 6 minutes. Participants were asked to perform the test at a pace that was comfortable to them, with as many breaks as they needed. Continuous pulse oximetry was conducted during the test for safety. Change is Week 12 results minus baseline results., Baseline/Day 1 and Week 12","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor type A antagonist",NCT00795639
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Intestinal microbiota transplant (IMT),PHASE1,"Frequency of Serious Adverse Events, In order to assess the safety of the trial, the frequency of adverse events will be reported. Outcome will be reported as the mean number of serious adverse events per participant., 6 months|Proportion of IMT Compliance, In order to assess the feasibility of the trial, the proportion of subjects taking 100% of the intestinal microbiota transplantation (IMT) doses per protocol will be reported. Outcome is reported as the percent of participants who consume 100% of IMT doses., 6 months","Pulmonary Arterial Hypertension, Primary",Intestinal microbiota transplant (IMT),NCT04884971
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Fluoxetine,PHASE2,"Pulmonary Vascular Resistance (PVR), Change in PVR between baseline and follow-up will be utilized. PVR is calculated as \[(Pulmonary Artery mean - wedge) / Fick Cardiac Output\]. Fick CO will be used in computing PVR over thermodilution because Fick appears to have greater precision (but not accuracy). The calculation of PVR above is measured in woods unit. Change is derived by getting the difference between baseline and week 24 PVR (Week 24 minus Baseline). mean is then computed by getting the average of the change, Baseline and Week 24","Pulmonary Arterial Hypertension, Primary","Antidepressant, Selective serotonin reuptake inhibitor (SSRI)",NCT03638908
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ambrisentan,PHASE4,"Number of Subjects Not Able to Tolerate Ambrisentan, If a subject was not able tolerate ambrisentan, subject was returned to use of bosentan and ambrisentan was withdrawn within first 12 weeks of start. A subject was considered to not be able to tolerate ambrisentan if they experienced an adverse event or side effect that was not acceptable to the subject., baseline to 12 weeks","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor type A antagonist",NCT01330108
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Beraprost Sodium Modified Release,PHASE2,"Number of Participants Reporting at Least One Treatment-Emergent Adverse Event (TEAE), A treatment-emergent adverse event (TEAEs) is defined as an event not present prior to the initiation of the treatments or any event already present that worsens in either intensity or frequency following exposure to the treatments. AEs occurring more than 3 days after the last day study drug is taken in the study will not be included in the statistical analyses or summaries (except for subjects with adverse events leading to study drug withdrawn). Only treatment-emergent adverse events occurring during the treatment period of the BPS-MR-PAH-202 study will be summarized. Any adverse event starting prior to the first dose of study drug will be excluded from the summary analyses and only presented in the data listings. A summary of serious and all other non-serious adverse events regardless of causality is located in the Reported Adverse Events module., Up to 56 months|Number of Treatment Emergent Adverse Events Reported During The Study, A treatment-emergent adverse event (TEAE) is defined as an event not present prior to the initiation of the treatment or any event already present that worsens in either intensity or frequency following exposure to the treatment. AEs occurring more than 3 days after the last day study drug was taken in the study was not included in the statistical analyses or summaries (except for participants with adverse events leading to study drug withdrawn). Only TEAEs that occurred during the treatment period of the BPS-MR-PAH-202 study were summarized. Any adverse event starting prior to the first dose of study drug was excluded from the summary analyses and only presented in the data listings. All efficacy results are descriptive; no statistical analysis was conducted. A summary of serious and all other non-serious adverse events regardless of causality is located in the Reported Adverse Events module., Up to 56 months","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT00792571
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Empagliflozin 10 MG,PHASE2,"Tolerability: the number of patients who have to prematurely discontinue treatment due to intolerability or adverse events., 12 weeks|Feasibility: time needed to include all patients and number of patients needed to screen., 12 weeks|Safety: the number of adverse events (AEs), severe adverse events (SAEs), adverse event of special interest (AESI) and suspected unexpected serious adverse reactions (SUSARs)., 12 weeks",Idiopathic Pulmonary Arterial Hypertension,"Antidiabetic, SGLT-2 inhibitor",NCT05493371
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Spironolactone,PHASE4,"Change in biomarker levels in the spironolactone treated as compared to placebo treated group., 50 participants will be enrolled in a 16-week study, and each subject will receive placebo or active drug in a random order. At the end of week 8, treatment arm for each subject will be blindly switched. Biomarker levels will be drawn 3 times (baseline, week 8, and week 16) during the study period for each subject., 16 week",Pulmonary Hypertension,"Antihypertensive, Diuretic, Aldosterone antagonist",NCT01468571
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Aspirin+clopidogrel,PHASE2,Plasma P-selectin level|Aggregometry|Serum thromboxane B2|Urinary Tx-M|Urinary prostaglandin I2 (PGI-M),Idiopathic pulmonary arterial hypertension,Antiplatelet,NCT00105209
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: sildenafil,PHASE4,"6 minute walk distance (6MWD) change from Baseline, ATS guideline based 6MW distance, 6 months",Pulmonary Arterial Hypertension|Idiopathic Pulmonary Fibrosis|Interstitial Lung Disease|Pulmonary Hypertension,"Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor",NCT00625079
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Sodium Nitrite Inhalation Solution| and AIR001 Inhalation Solution (Expansion arm),PHASE1,"The measurement of pulmonary arterial pressures by echocardiography., Pretreatment and up to 2 hours post treatment","Pulmonary Arterial Hypertension, Primary",Antidote (cyanide poisoning),NCT00814645
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: UT-15C SR (treprostinil diethanolamine),PHASE1,"Treprostinil pharmacokinetics in volunteers with varying degrees of renal function following a single oral dose of a 1 mg treprostinil diethanolamine sustained release., 48hrs post dose (60 hours for ESRD)",Pulmonary Arterial Hypertension|Renal Dysfunction,"Antihypertensive, Prostaglandin I2 receptor agonist",NCT01131845
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Macitentan 10 mg|DRUG: Macitentan 37.5 mg|DRUG: Macitentan 75 mg|,PHASE3,"Double-blind Treatment Period: Time to First Clinical Events Committee (CEC)-adjudicated Morbidity or Mortality (M/M) Events, Time to first CEC-adjudicated M/M event on-treatment (ie.,up to 7 days after last dose of DB study intervention) is defined as time from randomization to first of following events: All-cause death, including death caused by on-treatment adverse event that occur within 4 weeks of study DB treatment discontinuation;non-planned Pulmonary Arterial Hypertension(PAH)-related hospitalization(including for worsening of PAH, atrial septostomy, lung transplantation with or without heart transplantation, or initiation of parenteral prostacyclins);PAH-related disease progression, defined as worsening of World Health Organization(WHO) Functional Class(FC) from baseline or deterioration by at least 15% in exercise capacity, as measured by 6-minute walk distance(6MWD), from baseline and confirmed by second 6MWD test performed on different day within 2 week of initial test or appearance or worsening of signs or symptoms of right-sided heart failure that require initiation of intravenous diuretics., Up to 4 years","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor antagonist",NCT04273945
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Seralutinib (GB002),PHASE1,"Number of participants with Treatment-Related Adverse Events GB002 (Main study), To evaluate the safety and tolerability of GB002, Up to 45 days|Number of participants with Treatment-Related Adverse Events GB002 (OLE study), To evaluate the long-term safety and tolerability and efficacy of GB002, Up to 200 days","Pulmonary Arterial Hypertension, Primary",Receptor tyrosine kinase inhibitor,NCT03926793
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: saquinavir+ritonavir,EARLY_PHASE1,"HMGB1 level, 14 days","Pulmonary Arterial Hypertension, Primary","Antiviral, HIV protease inhibitor",NCT02023450
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Parenteral Remodulin (treprostinil) injection|DRUG: Oral Treprostinil,PHASE2,"Incidence of Adverse Events (AEs) through 16 Weeks, 16 Weeks","Pulmonary Arterial Hypertension, Primary","Anticoagulant, Antihypertensive, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT03016468
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: FDC macitentan | DRUG: tadalafil,PHASE3,"Change in Pulmonary Vascular Resistance (PVR) expressed as the ratio of geometric means of End of Double-Blind Treatment (EDBT) to baseline, PVR is the resistance in the pulmonary vasculature that has to be overcome to push blood from the right side of the heart to the lungs. PVR measured by Right Heart Catheterization (RHC) has diagnostic and prognostic value as well as offers an objective judgement on treatment response and efficacy., From baseline to EDBT (Week 16)",Pulmonary Arterial Hypertension (PAH) (WHO Group 1 PH),"Antihypertensive, Endothelin receptor antagonist | Antihypertensive, Impotence therapy, Phosphodiesterase V inhibitor ",NCT03904693
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ubenimex,PHASE2,"Treatment-emergent Adverse Events (TEAEs), Number of Patients with TEAEs collected for all patients and recorded on the Adverse Event Case Report Form, At least 24 weeks of open-label treatment with ubenimex followed by 4 weeks follow-up","Pulmonary Arterial Hypertension, Primary","Antineoplastic, Immunomodulator",NCT02736149
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: EFI/ACT-385781A,PHASE3,"Change in Pulmonary Vascular Resistance From Baseline to End of Treatment (EOT)., Right heart catheterization was performed for cardiac hemodynamic assessment at Screening or Day 1, prior to switch from Flolan┬« to EFI/ACT-385781A and at EOT., Approximately 3 months|Change in Total Pulmonary Resistance From Baseline to End of Treatment (EOT)., Right heart catheterization was performed for cardiac hemodynamic assessment at Screening or Day 1, prior to switch from Flolan┬« to EFI/ACT-385781A and at EOT., Approximately 3 months|Change in Mean Pulmonary Arterial Pressure From Baseline to End of Treatment (EOT)., Right heart catheterization was performed for cardiac hemodynamic assessment at Screening or Day 1, prior to switch from Flolan┬« to EFI/ACT-385781A and at EOT., Approximately 3 months|Change in Mean Right Atrial Pressure From Baseline to End of Treatment (EOT)., Right heart catheterization was performed for cardiac hemodynamic assessment at Screening or Day 1, prior to switch from Flolan┬« to EFI/ACT-385781A and at EOT., Approximately 3 months|Change in Pulmonary Capillary Wedge Pressure From Baseline to End of Treatment (EOT)., Right heart catheterization was performed for cardiac hemodynamic assessment at Screening or Day 1, prior to switch from Flolan┬« to EFI/ACT-385781A and at EOT., Approximately 3 months|Change in Mean Cardiac Index From Baseline to End of Treatment (EOT)., Right heart catheterization was performed for cardiac hemodynamic assessment at Screening or Day 1, prior to switch from Flolan┬« to EFI/ACT-385781A and at EOT., Approximately 3 months","Pulmonary Arterial Hypertension, Primary","Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT01431716
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Benzbromarone,PHASE2,"Pulmonary vascular resistance (Wood units) assessed by right heart catheterization, 2 hours",Idiopathic Pulmonary Arterial Hypertension,"Gout suppressant, Uricosuric",NCT02790450
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Iloprost,PHASE4,"Change in six minute walk distance, 24 weeks",Sarcoidosis|Pulmonary Arterial Hypertension,"Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT00403650
ATP13A3,autosomal recessive,TGF-beta signaling pathway,"DRUG: 20 mg sildenafil citrate by mouth|DRUG: sodium tanshinone IIA sulfonate diluted with 5% glucose solution,20mg sildenafil citrate by mouth",PHASE2|PHASE3,"mPAP by right heart catheterization, To assess if sodium Tanshinone IIA sulfonate decreases mean pulmonary arterial pressure., At the end of 0- and 8-week trial",Pulmonary Hypertension|Pulmonary Arterial Hypertension|Cardiovascular Diseases|Lung Diseases|Tanshinone IIA Sulfonate,"Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor",NCT01637675
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Metformin,PHASE2,The primary objective of this study will be to demonstrate the improvement of walk test distance in patients with pulmonary arterial hypertension (PAH) treated by metformin.,"Pulmonary Arterial Hypertension, Primary","Antidiabetic, Hypoglycemic, AMP kinase activator",NCT01352026
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: TPN171H||DRUG: Tadalafil,PHASE2,"Percentage of the maximum change in pulmonary vascular resistance(PVR) to the second baseline, Within 24 hours after drug administration","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Impotence therapy, Phosphodiesterase V inhibitor ",NCT04483115
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: bosentan,PHASE3,"exercise capacity, Baseline to end of study|cardiac hemodynamics, Baseline to end of study",Pulmonary Hypertension,"Antihypertensive, Endothelin receptor antagonist",NCT00091715
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Bosentan,PHASE3,"Treatment Emergent Adverse Events (AEs) up to 7 Days After Permanent Study Drug Discontinuation, This is the total number of subjects with at least one adverse event (serious or not serious) whether or not causally related to the study drug and presented cumulatively in the FUTURE 3 and FUTURE 3 Extension study. NOTE: FUTURE 3 extension study was exploratory and no primary efficacy and safety endpoints were defined in the protocol. So, this safety outcome measure was selected and reported as primary endpoint here., Up to 62 weeks in average",Pulmonary Arterial Hypertension,"Antihypertensive, Endothelin receptor antagonist",NCT01338415
ATP13A3,autosomal recessive,TGF-beta signaling pathway,"DRUG: Riociguat (Adempas, BAY63-2521)|DRUG: Riociguat (Adempas, BAY63-2521)|",PHASE3,"6 Minutes Walking Distance (6MWD) - Change From Baseline to Week 12, 6-minute walking distance (6MWD) is a measure for the objective evaluation of a patient's functional exercise capacity., Baseline and week 12",Pulmonary Hypertension,"Vasodilator, Guanylate cyclase activator",NCT00810693
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Oxygen,PHASE2,"6-minute Walking distance, To determine the benefits for PH patients from a long-term oxygen therapy (LTOT) given continuously during ΓëÑ16h/day for 12 weeks, measured by improvement of exercise performance assessed by the 6 minute walking distance (6MWD)., Change from baseline to 6 months",Oxygen Deficiency|Pulmonary Arterial Hypertension|CTEPH,Medical gases,NCT04207593
