NCT Number,Study Title,Study URL,Acronym,Study Status,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Other IDs,Study Documents
NCT01885559,HALT Progression of Polycystic Kidney Disease Study B,https://beta.clinicaltrials.gov/study/NCT01885559,HALT PKD B,COMPLETED,YES,"Kidney, Polycystic",DRUG: Lisinopril|DRUG: Telmisartan|DRUG: Placebo,"Number of Participants With 50% Reduction of Baseline eGFR, End Stage Renal Disease (ESRD, Initiation of Dialysis or Preemptive Transplant), or Death., Patients followed for 5-8 years with average of 6.5 years follow up","Albuminuria, Annual percent change in 24 hour urine albumin, centrally processed. Data from multiple years were analyzed with the primary focus on the change over time for the measure (from the slope of the model). The measure presented is the average annual percent change across the 8 years., up to 8 years (annually assessed)|Aldosterone, Annual percent change in urinary aldosterone, centrally processed measure. Data from multiple years were analyzed with the primary focus on the change over time for the measure (from the slope for time from the model). The measure presented is the average annual percent change across the 8 years., up at 8 years (annually assessed)|Hospitalizations, Hospitalization for any cause, up to 8 years|Cardiovascular Hospitalizations, Cause-specific hospitalizations (cardiovascular), up to 8 years|Quality of Life Physical Component Summary, Short Form-36 Quality of Life Physical Component Summary ranges from 0 (worst possible outcome) to 100 (best possible outcome). Data from multiple years were analyzed with the primary focus on the change over time for the measure (from the slope for time from the model). The measure presented is the average annual change across the 8 years., up to 8 years (annually assessed)|Quality of Life Mental Component Summary, Short Form-36 Quality of Life Mental Component Summary ranges from 0 (worst possible outcome) to 100 (best possible outcome). Data from multiple years were analyzed with the primary focus on the change over time for the measure (from the slope for time from the model). The measure presented is the average annual change across the 8 years., up to 8 years (annually assessed)|Back or Flank Pain, Report of back or flank pain since the last visit (yes or no), 48 months",,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Boehringer Ingelheim|Merck Sharp & Dohme LLC|Polycystic Kidney Disease Foundation|University of Pittsburgh|Washington University School of Medicine,"CHILD, ADULT",PHASE3,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",HALT PKD B|U01DK062401|U01DK082230,
NCT00446459,Effects of Mycophenolate Mofetil (MMF) On Anti-HLA (Human Leukocyte Antigen)Antibody Levels In Patients Awaiting Cadaveric Renal Transplant.,https://beta.clinicaltrials.gov/study/NCT00446459,,COMPLETED,YES,"Kidney Failure, Chronic|Diabetic Nephropathies|Glomerulonephritis, IGA|Hypertension, Renal",DRUG: mycophenolate mofetil (CellCept),"The Number of Subjects With a 10% Decrease in PRA Level at Month 8., Enrollment to month 8","The Number of Subjects With Significant Infections up to Month 12., The number of infections while on-study up to month 12. Subjects who's PRA decreased by 10% at month 8 and who went on to the Mycophenolate mofetil + Rituximab study were followed to month 8. Those subjects who stayed on the Mycophenolate mon-therapy study were observed for infection over 12 months or until they seperated from the study., From enrollment to month 12.|The Number of Kidney Transplant up to 12 Months., The number of kidney transplants up to month 12. Subjects who's PRA decreased by 10% at month 8 and who went on to the Mycophenolate mofetil + Rituximab study were followed to month 8. Those subjects who stayed on the Mycophenolate mon-therapy study were observed for infection over 12 months or until they seperated from the study., Enrollment to month 8 or month 12 post enrollment.|The Number of Pariticpants With a White Blood Cell Count Below 2.0 Thousand (Low) or Total IgG/IgM Titers Below Range (620-1490 mg/dL)., The number of subjects with adverse hematologic effects with MMF while on-study. Subjects who's PRA decreased by 10% at month 8 and who went on to the Mycophenolate mofetil + Rituximab study were followed to month 8. Those subjects who stayed on the Mycophenolate mon-therapy study were observed for hematologic effects up to 12 months., Enrollment to month 12.|The Number of Transplants With a Negative Crossmatch at Transplant., The number negative crossmatch transplants up to month 12. Positivie crossmatch transplant carries a higher risk for rejection. Subjects who's PRA decreased by 10% at month 8 and who went on to the Mycophenolate mofetil + Rituximab study were followed to month 8. Those subjects who stayed on the Mycophenolate mon-therapy study were observed for negative crossmatch transplants to 12 months., Number of Transplants with a Negative Crossmatch.",,University of Washington,Hoffmann-La Roche,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,24223-A|03-7915-A,
NCT01380717,Renal and Systemic Vascular Resistance in Chronic Kidney Disease (CKD),https://beta.clinicaltrials.gov/study/NCT01380717,RenVas,COMPLETED,NO,Chronic Kidney Insufficiency|Hypertension|Vasodilation,"DRUG: Beta-blocker, ACE-inhibitor|DRUG: Calcium Channel Blockers, ACE-Inhibitor","Change in glomerular filtration rate between the two treatment arms., Measured at baseline and after 18 months of treatment","Changes in glomerular filtration rate stratified after changes in pulse wave velocity, renal vascular resistance and forearm minimal resistance at baseline and after 18 months of treatment., 18 months",,University of Aarhus,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,RenVas,
NCT01148368,A Clinical Trial to Compare and Evaluate the Pharmacokinetic Characteristics and the Safety of Fimasartan in Renal Impairment Patients and Healthy Volunteers,https://beta.clinicaltrials.gov/study/NCT01148368,,COMPLETED,NO,Renal Impairment,DRUG: fimasartan,"pharmacokinetic characteristic of fimasartan, AUC, Cmax, Tmax, T1/2, and CL/F of fimasartan, 0, 0.5, 1, 1.5, 2, 2.5, 3, 4, 6, 8, 12, 24, 32, 48h",,,"Boryung Pharmaceutical Co., Ltd",Seoul National University Hospital,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: ,A657-BR-CT-113,
NCT02947750,Neurovascular Transduction During Exercise in Chronic Kidney Disease,https://beta.clinicaltrials.gov/study/NCT02947750,NeurovEx,RECRUITING,NO,"Renal Insufficiency, Chronic",DRUG: 6R-BH4|OTHER: 6R-BH4 placebo|DIETARY_SUPPLEMENT: Folic acid|OTHER: Exercise training|OTHER: Stretching|DIETARY_SUPPLEMENT: Histidine and beta-alanine supplementation|OTHER: Histidine and beta-alanine placebo,"Change in functional sympatholysis, Muscle oxygenation during exercise and sympathoexcitation will be measured., Baseline, Week 12|Change in vascular alpha 1 adrenergic responsiveness, Changes in vascular diameter in response to phenylephrine will be measured., Baseline, Week 12|Change in exaggerated pressor responses during exercise, Blood pressure and sympathetic responses during exercise will be measured., Baseline, Week 12","Renal artery resistance during exercise, Renal artery blood flow will be measured., Baseline, Week 12|Change in endothelial function, Endothelial function using peripheral arterial tonometry will be measured., Baseline, Week 12|Change in vascular stiffness, Vascular stiffness using applanation tonometry., Baseline, Week 12",,Emory University,"National Heart, Lung, and Blood Institute (NHLBI)","ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,IRB00091660|R01HL135183,
NCT02046395,Effect of Renin-angiotensin-system Blockade on Urinary Free Light Chains in Patients With Type 2 Diabetes Mellitus,https://beta.clinicaltrials.gov/study/NCT02046395,UFLC,COMPLETED,NO,Type 2 Diabetes|Hypertension,"DRUG: amlodipine, hydralazine, terazosin or hydrochlorothiazide","Change in urine microalbumin creatinine ratio, Kidney function will be assessed throughout the study to assess changes in function prior to the washout of ACE/ARB medication and reintroduction of the ACE/ARB medication., Visit 1 (screening visit and the beginning of the washout period may be combined -day -30), Visit 2 (day 30 of the washout period and the beginning of the test period), Visit 3 (day 30 of the test period), Visit 4 day (60) and Visit 5 (day 90)","Change in the level of Urinary Free Light Chains, In relation to kidney function and washout/reintroduction of ACE/ARB medication the level of urinary free light chains will be assessed., Visit 1 (screening visit and the beginning of the washout period may be combined -day -30), Visit 2 (day 30 of the washout period and the beginning of the test period), Visit 3 (day 30 of the test period), Visit 4 day (60) and Visit 5 (day 90)",,Tulane University School of Medicine,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,258683,
NCT01208714,Medical and Endovascular Treatment of Atherosclerotic Renal Artery Stenosis (METRAS Study),https://beta.clinicaltrials.gov/study/NCT01208714,METRAS,UNKNOWN,NO,Renal Artery Stenosis,DRUG: Optimal medical therapy|PROCEDURE: revascularization,"Glomerular filtration rate in the ischemic kidney after revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment., The Primary Objective of the study is to determine if revascularization by means of PTRAS is superior or equivalent to optimal medical treatment for preserving glomerular filtration rate in the ischemic kidney as assessed by 99TcDTPA sequential renal scintiscan, 24 months","Lowering blood pressure after revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment., One secondary objective of the study is to determine if the two treatments (revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment) are equivalent in lowering blood pressure after revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment., 1, 3, 6, 12, 24, 36, 48 and 60 months|Preserving overall renal function after revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment., One secondary objective of the study is to determine if the two treatments (revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment) are equivalent in preserving overall renal function, as assessed by total estimated GFR, the reciprocal of serum creatinine, and indexes of Ca2+ and PO43- metabolism., 1, 3, 6, 12, 24, 36, 48 and 60 months|Regression of damage in the target organs of hypertension, including cardiac hypertrophy, microalbuminuria and aortic stiffness after revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment., One secondary objective of the study is to determine if the two treatments (revascularization by means of percutaneous renal angioplasty (PTRAS) or optimal medical treatment) are equivalent in tregressing damage of the target organs of hypertension, including cardiac hypertrophy, microalbuminuria and aortic stiffness., 1, 3, 6, 12, 24, 36, 48 and 60 months",,University Hospital Padova,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,GPR-METRAS,
NCT05208814,a Study to Evaluate the Pharmacokinetics and Safety of TPN171H Tablets in Patients With Renal Insufficiency and Healthy Subjects,https://beta.clinicaltrials.gov/study/NCT05208814,,COMPLETED,NO,Pulmonary Arterial Hypertension|Erectile Dysfunction,DRUG: TPN171H single dose,"Area under the curve (AUC), Area under the curve (AUC) for plasma and urine following a single dose of TPN171H in subjects with renal insuffiency and healthy subjects., 72 hours or 120 hours after dosing|Time to maximum plasma concentration (Tmax), Time to maximum plasma concentration (Tmax) for plasma and urine following a single dose of TPN171H in subjects with renal insuffiency and healthy subjects., 72 hours or 120 hours after dosing|Maximum plasma concentration (Cmax), Maximum plasma concentration (Cmax) for plasma and urine following a single dose of TPN171H in subjects with renal insuffiency and healthy subjects., 72 hours or 120 hours after dosing|Terminal half-life (t 1/2), Terminal half-life (t 1/2) for plasma and urine following a single dose of TPN171H in subjects with renal insuffiency and healthy subjects., 72 hours or 120 hours|Apparent distribution volume (Vd), Apparent distribution volume (Vd) for plasma and urine following a single dose of TPN171H in subjects with renal mpairment and healthy subjects., 72 hours or 120 hours after dosing|Clearance rate (CL), Clearance rate (CL) for plasma and urine following a single dose of TPN171H in subjects with renal insuffiency and healthy subjects., 72 hours or 120 hours after dosing|Oral bioavailability (F), Oral bioavailability (F) for plasma and urine following a single dose of TPN171H in subjects with renal insuffiency and healthy subjects., 72 hours or 120 hours after dosing|Adverse events, Number of Participants With treatment-related Adverse Events and Serious Adverse Events., From administration of study drug through 8 days after administration of study drug",,,Vigonvita Life Sciences,"Shanghai Institute of Materia Medica, Chinese Academy of Sciences","ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,TPN171H-10,
NCT01349114,Effect of the Direct Renin Inhibitor Aliskiren on Endothelial Function and Arterial Stiffness in Diabetic Subjects,https://beta.clinicaltrials.gov/study/NCT01349114,,TERMINATED,YES,Diabetes|Pre-hypertension|Hypertension,DRUG: aliskiren 300 mg once daily|DRUG: Placebo/sugar pill,"Change in Flow-mediated Dilation, Flow-mediated dilation of the brachial artery assessed by ultrasound to evaluate improvement of arterial functioning by % of dilation after non-invasive occlusion, Baseline to 3 months","Mean Central Aortic Pressure at 3 Months, Baseline to 3 months after Aliskiren/PLC, reported value at 3 months after start of study of central aortic pressure assessed by non-invasive applanation tonometry ( SphygmoCor, Atcor), 3 months after start of study",,University of Alabama at Birmingham,Novartis,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: HEALTH_SERVICES_RESEARCH",F110124007,
NCT02527837,The Effect of Sodium Nitrite on Renal Function and Blood Pressure in Hypertensive Versus Healthy Subjects,https://beta.clinicaltrials.gov/study/NCT02527837,HYCA,UNKNOWN,NO,Hypertension,DRUG: Sodium nitrite|DRUG: Sodium chloride,"Fractional urinary sodium excretion (FENa), 1 day","Peripheral (brachial) blood pressure, Measured by oscillometric sphygmomanometer, 1 day|Central aortic systolic blood pressure (CASP), Measured by tonometric pulse wave analysis. Device BPro from HealthSTATS international, Singapore, 1 day|Plasma concentration of nitrite and nitrate (NOx), 1 day|Urinary excretion of nitrite and nitrate (NOx), 1 day|Glomerular filtration rate, 1 day|Proximal sodium transport (Estimated by lithium clearance), Estimated by lithium clearance, 1 day|Free water clearance, 1 day|Urinary excretion of cyclic guanosine monophosphate (cGMP), 1 day|Urinary excretion of epithelial sodium channels (ENaC), 1 day|Urinary excretion of aquaporin 2 water channels (AQP2), 1 day|Plasma concentration of renin (PRC), 1 day|Plasma concentration of angiotensin II (ANG2), 1 day|Plasma concentration of aldosterone, 1 day|Plasma concentration of atrial natriuretic peptide (ANP), 1 day|Plasma concentration of brain natriuretic peptide (BNP), 1 day|Plasma concentration of cyclic guanosine monophosphate (cGMP), 1 day|Plasma concentration of endothelin, 1 day|Plasma concentration of vasopressin (AVP, ADH), 1 day",,Erling Bjerregaard Pedersen,,"ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (PARTICIPANT)|Primary Purpose: BASIC_SCIENCE,JBR-1-2014,
NCT00140907,"ALLOGRAFT, A Study to Evaluate the Renal Protective Effects of Losartan (0954-222)(COMPLETED)",https://beta.clinicaltrials.gov/study/NCT00140907,,COMPLETED,NO,High Blood Pressure,DRUG: losartan potassium|DRUG: Comparator: Placebo,"Incidence of chronic allograft nephropathy, 24 months post treatment",,,Organon and Co,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",0954-222|MK0954-222|2005_053,
NCT00498433,Effects of Aliskiren and Amlodipine on the Renin-Angiotensin System (RAS) and Lipid/Carbohydrate Metabolism in Obese Patients With Hypertension,https://beta.clinicaltrials.gov/study/NCT00498433,,TERMINATED,YES,Hypertension|Abdominal Obesity,DRUG: Aliskiren|DRUG: Amlodipine|DRUG: Placebo of Aliskiren|DRUG: Placebo of amlodipine,"Part 1: Aliskiren Concentrations From Interstitial Fluid (Microdialysis)at the End of Aliskiren Treatment Period, Interstitial fluid was obtained from subcutaneous adipose and skeletal muscle tissues by microdialysis using the zero-flow method. Interstitial fluid was collected for measurements of drug concentrations on the last day of the aliskiren treatment periods (Day 42)., Day 42|Part 1: Amlodipine Concentrations From Interstitial Fluid (Microdialysis) at the End of Amlodipine Treatment Period, Interstitial fluid was obtained from subcutaneous adipose and skeletal muscle tissues by microdialysis using the zero-flow method. Interstitial fluid was collected for measurements of drug concentration on the last day of the amlodipine treatment periods (Day 98)., Day 98|Part 1: Angiotensin II Levels in Interstitial Fluid of Fat and Skeletal Muscle (Microdialysis) During Aliskiren Treatment Period, Interstitial fluid was obtained from subcutaneous adipose and skeletal muscle tissues by microdialysis using the zero-flow method to determine Ang II concentration., Day 42|Part 1: Angiotensin II Levels in Interstitial Fluid of Fat and Skeletal Muscle (Microdialysis) During Amlodipine Treatment Period, Interstitial fluid was obtained from subcutaneous adipose and skeletal muscle tissues by microdialysis using the zero-flow method to determine Ang II concentration., Day 98|Part 1: Aliskiren Concentrations From Tissue at the End of Aliskiren Treatment Period, Biopsies were taken from abdominal adipose and skeletal muscle tissue to determine aliskiren concentration. Tissue biopsy samples for drug concentrations analyses were taken on the last day of the aliskiren treatment periods (Day 42)., Day 42|Part 1: Angiotensin II Levels From Tissue During Aliskiren Treatment Period, Biopsies were taken from abdominal adipose and skeletal muscle tissue to determine Ang II concentration., Day 42|Part 1: Renin Activity and Concentrations From Adipose and Skeletal Tissues During Aliskiren Treatment Period, Day 42|Part 1: Aliskiren Concentrations From Plasma at the End of Aliskiren Treatment Period, Plasma samples were obtained for measurement of aliskiren or amlodipine concentrations. All blood samples were taken by an indwelling cannula inserted in a forearm vein or direct venipuncture. The plasma samples for drug concentrations analyses were taken on the last day of the aliskiren treatment periods (Day 42)., Day 42|Part 1: Amlodipine Concentrations From Plasma at the End of Amlodipine Treatment Period, Plasma samples were obtained for measurement of aliskiren or amlodipine concentrations. All blood samples were taken by an indwelling cannula inserted in a forearm vein or direct venipuncture. The plasma samples for drug concentrations analyses were taken on the last day of the amlodipine treatment periods (Day 98)., Day 98|Part 1: Angiotensin II Levels in Plasma During Aliskiren Treatment Period, Interstitial fluid was obtained from subcutaneous adipose and skeletal muscle tissues by microdialysis using the zero-flow method to determine Ang II concentration., Day 42|Part 1: Angiotensin II Levels in Plasma During Amlodipine Treatment Period, Interstitial fluid was obtained from subcutaneous adipose and skeletal muscle tissues by microdialysis using the zero-flow method to determine Ang II concentration., Day 98|Part 1: Renin Concentrations From Plasma During Aliskiren Treatment Period, Renin concentrations from plasma were measured as: plasma renin concentration (PRC), prorenin concentration and total renin concentration (renin + prorenin concentration)., Day 42|Part 1: Renin Concentrations From Plasma During Amlodipine Treatment Period, Renin concentrations from plasma were measured as plasma renin concentration (PRC), prorenin concentration and total renin concentration (renin + prorenin concentration)., Day 98|Part 1: Renin Activity From Plasma During Aliskiren Treatment Period, Plasma Renin activity (PRC) was measured by a trapping PRA (tPRA) assay., Day 42|Part 1: Renin Activity From Plasma During Amlodipine Treatment Period, Plasma renin activity (PRC) was measured by a trapping PRA (tPRA) assay., Day 98|Part 2: Change From Baseline in Angiotensin II Levels in Interstitial Fluid of Fat and Skeletal Muscle (Microdialysis) During Double Blind Treatment Period, Interstitial fluid was obtained from subcutaneous adipose and skeletal muscle tissues by microdialysis using the zero-flow method to determine Ang II concentration., Placebo Baseline (Day 14), Active Treatment (Day 98)|Part 2: Change From Baseline in Plasma Angiotensin II Levels During Double Blind Treatment Period, Plasma Ang II was measured prior to and 1 hour after the Insulin modified-frequently sampled intravenous glucose tolerance test (IM-FSIGT) during placebo treatment (Days 14) and active treatment(Day 98)., Placebo Baseline (Day 14), Active Treatment (Day 98)|Part 2: Plasma Renin Activity (PRA) Concentration During Double Blind Treatment Period, Day 98|Part 2: Plasma Renin Concentration (PRC) Levels During Double Blind Treatment Period, Day 98","Part 2: Microdialysis Metabolic Analytes in Response to Insulin Modified Frequently Sampled Intravenous Glucose Test [IM-FSIGT]for Each Tissue (Adipose or Skeletal Muscle), Day 14 and Day 98|Part 2: Change From Baseline in Official Blood Pressure, Placebo Baseline (Day 14), Active Treatment (Day 98)|Part 2: Renin Activity and Concentration of Aliskiren and Amlodipine in Fat and Skeletal Muscle Interstitial Fluid, Placebo Baseline (Day 14), Active Treatment (Day 98)|Part 2: Change From Baseline in Peripheral Insulin Sensitivity in Response to Insulin Modified Frequently Sampled Intravenous Glucose Test [IM-FSIGT]for Each Tissue (Adipose or Skeletal Muscle), Placebo Baseline (Day 14), Active Treatment (Day 98)|Part 2: Change From Baseline in Mitochondrial Mass in Subcutaneous Fat and Skeletal Muscle (Tissue Biopsies), Placebo Baseline (Day 14), Active Treatment (Day 98)|Part 2: Number of Participants With Reported Any Adverse Events, Serious Adverse Events and Death, 98 days",,Novartis,,"ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",CSPP100A2238,
NCT01284114,Effects of Aliskiren in Elderly Hypertensive Chronic Kidney Disease (CKD) Patients,https://beta.clinicaltrials.gov/study/NCT01284114,,COMPLETED,YES,Hypertension|Chronic Kidney Disease,DRUG: Aliskiren,"The Change of Blood Pressure, The change of systolic blood pressure and diastolic blood pressure, baseline and 6 month|The Change of Heart Function Confirmed by Echocardiograph, Left ventricular ejection fraction (LVEF)were measured by echocardiogram at baseline and 6 month. Plasma BNP level were measured by the radioimmunoassay (RIA) method at baseline and 6month., baseline and 6 month|The Change of BNP, Plasma BNP level were measured by the radioimmunoassay (RIA) method at baseline and 6month., baseline and 6month|The Change of eGFR, eGFR was calculated at baseline and at 6 month using a modified version of the Modification of Diet in Renal Disease (MDRD) formula of the Japanese Society of Nephrology as follows: eGFR (ml/min/1.73 m2) = 194 Ã— age-0.287 Ã— serum creatinine-1.094 (multiplied by 0.739 for females)., baseline and 6 month|The Change of Urine Albumin/ Creatinine Ratio (UACR)., The UACR was measured at baseline, Week12 and Week24, baseline and 6 months","The Change of Oxidative Stress Markers Confirmed by Plasma Level of 8-OHdG and d-ROM, 6 months",,Jichi Medical University,,OLDER_ADULT,PHASE4,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,JMU-N1,
NCT01734096,Renal Response to Lower Body Negative Pressure in Pre-hypertensive States,https://beta.clinicaltrials.gov/study/NCT01734096,,COMPLETED,NO,Hypertension|Obesity|White Coat Hypertension|Resistant Hypertension,OTHER: Lower body negative pressure (LBNP)|DRUG: Candesartan cilexetil,"sodium excretion, sodium excretion will be compared to control group (healthy volunteers) after one hour of lower negative pressure. The protocol includes 2 hours of baseline measure, one hour of lower negative pressure and 2 hours of recovery, after one hour of lower body negative pressure","glomerular filtration rate, after one hour of lower body negative pressure","renal plasma flow, after one hour of lower body negative pressure",PD Dr. GrÃ©goire Wuerzner,Swiss National Science Foundation,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",PZ00P3_121655,
NCT00140790,Valsartan in Cardiovascular Disease With Renal Dysfunction (The V-CARD) Study,https://beta.clinicaltrials.gov/study/NCT00140790,,TERMINATED,NO,Hypertension,DRUG: valsartan,"Cardiovascular events, 2 years|End-stage renal dysfunction, 2 years|50% reduction of creatinine clearance, 2 years","% FS and E/A ratio, 2 years|Specific biochemical markers for cardiac or renal function, 6 months and 1 year and 2 years|% changes of creatinine clearance, 2 years|1/(serum Cr), 2 years|Serum K, 2 years|HbA1c, 2 years|U-prot/U-Cr, 2 years|Adverse drug effects, 2 years|New onset Atrial Fibrillation, 2 years",,Kumamoto University,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,CVM-RCT-2005-02,
NCT00852787,Marinobufagenin as a Target for DIGIBIND in Hypertensive Patients With End-stage Renal Disease,https://beta.clinicaltrials.gov/study/NCT00852787,,UNKNOWN,NO,Hypertension|Hemodialysis,DRUG: Digoxin immune fab|DRUG: Placebo,"Blood pressure, Screening, and 24-hour period after first infusion and after second infusion","Marinobufagenin levels, Screening, and after first and second infusions",,National Institute on Aging (NIA),University of Toledo Health Science Campus,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",AG0115|263-MA-707136-1,
NCT00240422,Trial to Compare the Effects of Either Telmisartan (40-80 mg PO Once Daily) or Ramipril (5-10 mg PO Once Daily) on Renal Endothelial Dysfunction in Hypertensive Patients With Type 2 Diabetes,https://beta.clinicaltrials.gov/study/NCT00240422,,COMPLETED,NO,"Diabetes Mellitus, Type 2|Hypertension",DRUG: Telmisartan|DRUG: Ramipril,"Change from baseline of renal plasma flow (RPF) in response to L-NMMA infusion at the end of treatment., 9 weeks","Change from baseline of glomerular filtration rate (GFR) in response to L-NMMA infusion at the end of treatment, 9 weeks|Change from baseline of filtration fraction (FF) in response to L-NMMA infusion at the end of treatment., 9 weeks|Change from baseline of renal vascular resistance (RVR) in response to L-NMMA infusion at the end of treatment., 9 weeks|Change from baseline of RPF in response to L-arginine infusion at the end of treatment., 9 weeks|Change from baseline of GFR in response to L-arginine infusion at the end of treatment, 9 weeks|Change from baseline of FF in response to L-arginine infusion at the end of treatment., 9 weeks|Change from baseline of RVR in response to L-arginine infusion at the end of treatment., 9 weeks|Change from baseline of mean arterial pressure (MAP) and pulse rate (PR) in response to L-NMMA infusion at the end of treatment., 9 weeks|Change from baseline of MAP and PR in response to L-arginine infusion at the end of treatment., 9 weeks|Change from baseline of the laboratory parameters angiotensin II (ANG II), aldosterone, asymmetrical dimethylarginine (ADMA), L-arginine, urinary nitrate/nitrite (UNOx), and urinary albumin excretion at the end of treatment, 9 weeks|Change from baseline of the pre-L-NMMA RPF at the end of treatment, 9 weeks|Change from baseline of the pre-L-NMMA GFR at the end of treatment, 9 weeks|Change from baseline of the pre-L-NMMA FF at the end of treatment., 9 weeks|Change from baseline of the pre-L-NMMA RVR at the end of treatment., 9 weeks|Change from baseline of the urinary excretion parameters creatinine, sodium, potassium, and urea at the end of treatment., 9 weeks|Blood pressure response and control at the end of treatment, 9 weeks|Change from baseline of central blood pressure and augmentation index (by pulse wave analysis) at the end of treatment., 9 weeks|Change from baseline of RPF in response to Vitamin C infusion at the end of treatment, 9 weeks|Change from baseline of GFR in response to Vitamin C infusion at the end of treatment, 9 weeks|Change from baseline of FF in response to Vitamin C infusion at the end of treatment., 9 weeks|Change from baseline of RVR in response to Vitamin C infusion at the end of treatment., 9 weeks|Change from baseline of MAP and PR in response to Vitamin C infusion at the end of treatment., 9 weeks|Incidence of adverse events, week -2 and 9 weeks|Changes from base line in routine laboratory data at the end of the study, 9 weeks|Changes in vital signs, 9 weeks|Changes from screening in physical examination at the end of the study, - 4 weeks and 9 weeks|Changes from screening in ECG at the end of the study, - 4 weeks and 9 weeks",,Boehringer Ingelheim,,"ADULT, OLDER_ADULT",PHASE4,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE|Primary Purpose: TREATMENT,502.398,
